call_id,condition_label,architecture,role,first_attempt_status,resolved_status,attempt_count,latency_ms,jsonl_integrity,agent_message_present
final-b01-light-independent-s07,light,independent,solver,semantic_response,semantic_response,1,55643,True,True
final-b02-medium-tournament20-e04,medium,tournament20,explorer,semantic_response,semantic_response,1,155236,True,True
final-b04-medium-tournament20-e05,medium,tournament20,explorer,semantic_response,semantic_response,1,109377,True,True
final-b01-medium-swarm10-p02,medium,swarm10,proposer,semantic_response,semantic_response,1,144988,True,True
final-b01-medium-independent-s07,medium,independent,solver,semantic_response,semantic_response,1,155864,True,True
final-b01-medium-tournament20-e05,medium,tournament20,explorer,semantic_response,semantic_response,1,135123,True,True
final-b02-light-tournament20-e01,light,tournament20,explorer,semantic_response,semantic_response,1,61706,True,True
final-b02-light-swarm10-p03,light,swarm10,proposer,semantic_response,semantic_response,1,48607,True,True
final-b03-light-swarm10-p04,light,swarm10,proposer,semantic_response,semantic_response,1,60833,True,True
final-b02-medium-independent-s07,medium,independent,solver,semantic_response,semantic_response,1,155801,True,True
final-b03-medium-independent-s05,medium,independent,solver,semantic_response,semantic_response,1,132564,True,True
final-b04-medium-swarm10-p05,medium,swarm10,proposer,semantic_response,semantic_response,1,135406,True,True
final-b04-medium-independent-s03,medium,independent,solver,semantic_response,semantic_response,1,158545,True,True
final-b01-light-tournament20-e04,light,tournament20,explorer,semantic_response,semantic_response,1,54361,True,True
final-b04-light-independent-s18,light,independent,solver,semantic_response,semantic_response,1,50803,True,True
final-b03-medium-tournament20-e02,medium,tournament20,explorer,semantic_response,semantic_response,1,111015,True,True
final-b04-light-tournament20-e05,light,tournament20,explorer,semantic_response,semantic_response,1,41117,True,True
final-b02-medium-swarm10-p02,medium,swarm10,proposer,semantic_response,semantic_response,1,167537,True,True
final-b03-light-independent-s02,light,independent,solver,semantic_response,semantic_response,1,68996,True,True
final-b03-medium-swarm10-p05,medium,swarm10,proposer,semantic_response,semantic_response,1,143054,True,True
final-b01-light-swarm10-p04,light,swarm10,proposer,semantic_response,semantic_response,1,53178,True,True
final-b04-light-swarm10-p04,light,swarm10,proposer,semantic_response,semantic_response,1,53375,True,True
final-b02-light-independent-s06,light,independent,solver,semantic_response,semantic_response,1,58148,True,True
final-b03-light-tournament20-e02,light,tournament20,explorer,semantic_response,semantic_response,1,58416,True,True
final-b01-light-independent-s01,light,independent,solver,semantic_response,semantic_response,1,75546,True,True
final-b02-medium-tournament20-e03,medium,tournament20,explorer,semantic_response,semantic_response,1,182708,True,True
final-b04-medium-tournament20-e02,medium,tournament20,explorer,semantic_response,semantic_response,1,113883,True,True
final-b01-medium-swarm10-p04,medium,swarm10,proposer,semantic_response,semantic_response,1,138005,True,True
final-b01-medium-independent-s08,medium,independent,solver,semantic_response,semantic_response,1,123515,True,True
final-b01-medium-tournament20-e04,medium,tournament20,explorer,semantic_response,semantic_response,1,145953,True,True
final-b02-light-tournament20-e05,light,tournament20,explorer,semantic_response,semantic_response,1,53488,True,True
final-b02-light-swarm10-p05,light,swarm10,proposer,semantic_response,semantic_response,1,55233,True,True
final-b03-light-swarm10-p02,light,swarm10,proposer,semantic_response,semantic_response,1,76617,True,True
final-b02-medium-independent-s04,medium,independent,solver,semantic_response,semantic_response,1,179122,True,True
final-b03-medium-independent-s11,medium,independent,solver,semantic_response,semantic_response,1,124923,True,True
final-b04-medium-swarm10-p03,medium,swarm10,proposer,semantic_response,semantic_response,1,157897,True,True
final-b04-medium-independent-s02,medium,independent,solver,semantic_response,semantic_response,1,119478,True,True
final-b01-light-tournament20-e03,light,tournament20,explorer,semantic_response,semantic_response,1,67303,True,True
final-b04-light-independent-s06,light,independent,solver,semantic_response,semantic_response,1,56212,True,True
final-b03-medium-tournament20-e08,medium,tournament20,explorer,semantic_response,semantic_response,1,167833,True,True
final-b04-light-tournament20-e01,light,tournament20,explorer,semantic_response,semantic_response,1,51318,True,True
final-b02-medium-swarm10-p01,medium,swarm10,proposer,semantic_response,semantic_response,1,136956,True,True
final-b03-light-independent-s11,light,independent,solver,semantic_response,semantic_response,1,58191,True,True
final-b03-medium-swarm10-p02,medium,swarm10,proposer,semantic_response,semantic_response,1,133897,True,True
final-b01-light-swarm10-p01,light,swarm10,proposer,semantic_response,semantic_response,1,64839,True,True
final-b04-light-swarm10-p01,light,swarm10,proposer,semantic_response,semantic_response,1,45485,True,True
final-b02-light-independent-s16,light,independent,solver,semantic_response,semantic_response,1,53985,True,True
final-b03-light-tournament20-e05,light,tournament20,explorer,semantic_response,semantic_response,1,64111,True,True
final-b01-light-independent-s04,light,independent,solver,semantic_response,semantic_response,1,63079,True,True
final-b02-medium-tournament20-e05,medium,tournament20,explorer,semantic_response,semantic_response,1,109989,True,True
final-b04-medium-tournament20-e08,medium,tournament20,explorer,semantic_response,semantic_response,1,178682,True,True
final-b01-medium-swarm10-p01,medium,swarm10,proposer,semantic_response,semantic_response,1,117707,True,True
final-b01-medium-independent-s03,medium,independent,solver,semantic_response,semantic_response,1,160940,True,True
final-b01-medium-tournament20-e07,medium,tournament20,explorer,semantic_response,semantic_response,1,146997,True,True
final-b02-light-tournament20-e07,light,tournament20,explorer,semantic_response,semantic_response,1,58485,True,True
final-b02-light-swarm10-p02,light,swarm10,proposer,semantic_response,semantic_response,1,48887,True,True
final-b03-light-swarm10-p01,light,swarm10,proposer,semantic_response,semantic_response,1,58229,True,True
final-b02-medium-independent-s20,medium,independent,solver,semantic_response,semantic_response,1,120554,True,True
final-b03-medium-independent-s15,medium,independent,solver,semantic_response,semantic_response,1,143666,True,True
final-b04-medium-swarm10-p01,medium,swarm10,proposer,semantic_response,semantic_response,1,142985,True,True
final-b04-medium-independent-s17,medium,independent,solver,semantic_response,semantic_response,1,133924,True,True
final-b01-light-tournament20-e06,light,tournament20,explorer,semantic_response,semantic_response,1,62532,True,True
final-b04-light-independent-s16,light,independent,solver,semantic_response,semantic_response,1,59290,True,True
final-b03-medium-tournament20-e03,medium,tournament20,explorer,semantic_response,semantic_response,1,137748,True,True
final-b04-light-tournament20-e02,light,tournament20,explorer,semantic_response,semantic_response,1,49626,True,True
final-b02-medium-swarm10-p05,medium,swarm10,proposer,semantic_response,semantic_response,1,176479,True,True
final-b03-light-independent-s19,light,independent,solver,semantic_response,semantic_response,1,63547,True,True
final-b03-medium-swarm10-p03,medium,swarm10,proposer,semantic_response,semantic_response,1,119720,True,True
final-b01-light-swarm10-p05,light,swarm10,proposer,semantic_response,semantic_response,1,62179,True,True
final-b04-light-swarm10-p03,light,swarm10,proposer,semantic_response,semantic_response,1,48792,True,True
final-b02-light-independent-s14,light,independent,solver,semantic_response,semantic_response,1,53431,True,True
final-b03-light-tournament20-e01,light,tournament20,explorer,semantic_response,semantic_response,1,65401,True,True
final-b01-light-independent-s09,light,independent,solver,semantic_response,semantic_response,1,57385,True,True
final-b02-medium-tournament20-e01,medium,tournament20,explorer,semantic_response,semantic_response,1,175776,True,True
final-b04-medium-tournament20-e01,medium,tournament20,explorer,semantic_response,semantic_response,1,123568,True,True
final-b01-medium-swarm10-p05,medium,swarm10,proposer,semantic_response,semantic_response,1,151302,True,True
final-b01-medium-independent-s01,medium,independent,solver,semantic_response,semantic_response,1,132832,True,True
final-b01-medium-tournament20-e06,medium,tournament20,explorer,semantic_response,semantic_response,1,158412,True,True
final-b02-light-tournament20-e04,light,tournament20,explorer,semantic_response,semantic_response,1,65251,True,True
final-b02-light-swarm10-p04,light,swarm10,proposer,semantic_response,semantic_response,1,48863,True,True
final-b03-light-swarm10-p03,light,swarm10,proposer,semantic_response,semantic_response,1,77804,True,True
final-b02-medium-independent-s11,medium,independent,solver,semantic_response,semantic_response,1,192703,True,True
final-b03-medium-independent-s04,medium,independent,solver,semantic_response,semantic_response,1,147203,True,True
final-b04-medium-swarm10-p04,medium,swarm10,proposer,semantic_response,semantic_response,1,136392,True,True
final-b04-medium-independent-s05,medium,independent,solver,semantic_response,semantic_response,1,168939,True,True
final-b01-light-tournament20-e01,light,tournament20,explorer,semantic_response,semantic_response,1,56123,True,True
final-b04-light-independent-s02,light,independent,solver,semantic_response,semantic_response,1,58818,True,True
final-b03-medium-tournament20-e06,medium,tournament20,explorer,semantic_response,semantic_response,1,130586,True,True
final-b04-light-tournament20-e04,light,tournament20,explorer,semantic_response,semantic_response,1,41991,True,True
final-b02-medium-swarm10-p03,medium,swarm10,proposer,semantic_response,semantic_response,1,182681,True,True
final-b03-light-independent-s04,light,independent,solver,semantic_response,semantic_response,1,60637,True,True
final-b03-medium-swarm10-p04,medium,swarm10,proposer,semantic_response,semantic_response,1,147868,True,True
final-b01-light-swarm10-p02,light,swarm10,proposer,semantic_response,semantic_response,1,70728,True,True
final-b04-light-swarm10-p02,light,swarm10,proposer,semantic_response,semantic_response,1,56059,True,True
final-b02-light-independent-s03,light,independent,solver,semantic_response,semantic_response,1,56321,True,True
final-b03-light-tournament20-e06,light,tournament20,explorer,semantic_response,semantic_response,1,66081,True,True
final-b01-light-independent-s13,light,independent,solver,semantic_response,semantic_response,1,55018,True,True
final-b02-medium-tournament20-e07,medium,tournament20,explorer,semantic_response,semantic_response,1,130910,True,True
final-b04-medium-tournament20-e04,medium,tournament20,explorer,semantic_response,semantic_response,1,169255,True,True
final-b01-medium-swarm10-p03,medium,swarm10,proposer,semantic_response,semantic_response,1,158949,True,True
final-b01-medium-independent-s19,medium,independent,solver,semantic_response,semantic_response,1,150164,True,True
final-b01-medium-tournament20-e01,medium,tournament20,explorer,semantic_response,semantic_response,1,184891,True,True
final-b02-light-tournament20-e03,light,tournament20,explorer,semantic_response,semantic_response,1,71502,True,True
final-b02-light-swarm10-p01,light,swarm10,proposer,semantic_response,semantic_response,1,48986,True,True
final-b03-light-swarm10-p05,light,swarm10,proposer,semantic_response,semantic_response,1,75313,True,True
final-b02-medium-independent-s17,medium,independent,solver,semantic_response,semantic_response,1,161888,True,True
final-b03-medium-independent-s18,medium,independent,solver,semantic_response,semantic_response,1,143110,True,True
final-b04-medium-swarm10-p02,medium,swarm10,proposer,semantic_response,semantic_response,1,119032,True,True
final-b04-medium-independent-s20,medium,independent,solver,semantic_response,semantic_response,1,182029,True,True
final-b01-light-tournament20-e08,light,tournament20,explorer,semantic_response,semantic_response,1,54561,True,True
final-b04-light-independent-s04,light,independent,solver,semantic_response,semantic_response,1,46522,True,True
final-b03-medium-tournament20-e04,medium,tournament20,explorer,semantic_response,semantic_response,1,111939,True,True
final-b04-light-tournament20-e03,light,tournament20,explorer,semantic_response,semantic_response,1,47179,True,True
final-b02-medium-swarm10-p04,medium,swarm10,proposer,semantic_response,semantic_response,1,130439,True,True
final-b03-light-independent-s17,light,independent,solver,semantic_response,semantic_response,1,71300,True,True
