case_id,block,family,tier,truth,G-157CA76A3367.prediction,G-157CA76A3367.exact,G-157CA76A3367.term_accuracy,G-157CA76A3367.term_correct,G-157CA76A3367.format_compliant,G-157CA76A3367.proposal_plurality,G-157CA76A3367.proposal_plurality_exact,G-157CA76A3367.override,G-157CA76A3367.harmful_override,G-157CA76A3367.useful_override,G-157CA76A3367.terminal_job_id,G-157CA76A3367.completed_proposals,G-157CA76A3367.valid_proposals,G-157CA76A3367.calls,G-157CA76A3367.input_tokens,G-157CA76A3367.output_tokens,G-157CA76A3367.cost_usd,G-157CA76A3367.latency_ms,G-1C48E71B2A52.prediction,G-1C48E71B2A52.exact,G-1C48E71B2A52.term_accuracy,G-1C48E71B2A52.term_correct,G-1C48E71B2A52.format_compliant,G-1C48E71B2A52.proposal_plurality,G-1C48E71B2A52.proposal_plurality_exact,G-1C48E71B2A52.override,G-1C48E71B2A52.harmful_override,G-1C48E71B2A52.useful_override,G-1C48E71B2A52.terminal_job_id,G-1C48E71B2A52.completed_proposals,G-1C48E71B2A52.valid_proposals,G-1C48E71B2A52.calls,G-1C48E71B2A52.input_tokens,G-1C48E71B2A52.output_tokens,G-1C48E71B2A52.cost_usd,G-1C48E71B2A52.latency_ms,G-6892249EEC1C.prediction,G-6892249EEC1C.exact,G-6892249EEC1C.term_accuracy,G-6892249EEC1C.term_correct,G-6892249EEC1C.format_compliant,G-6892249EEC1C.proposal_plurality,G-6892249EEC1C.proposal_plurality_exact,G-6892249EEC1C.override,G-6892249EEC1C.harmful_override,G-6892249EEC1C.useful_override,G-6892249EEC1C.terminal_job_id,G-6892249EEC1C.completed_proposals,G-6892249EEC1C.valid_proposals,G-6892249EEC1C.calls,G-6892249EEC1C.input_tokens,G-6892249EEC1C.output_tokens,G-6892249EEC1C.cost_usd,G-6892249EEC1C.latency_ms,G-8950DC816BAB.prediction,G-8950DC816BAB.exact,G-8950DC816BAB.term_accuracy,G-8950DC816BAB.term_correct,G-8950DC816BAB.format_compliant,G-8950DC816BAB.proposal_plurality,G-8950DC816BAB.proposal_plurality_exact,G-8950DC816BAB.override,G-8950DC816BAB.harmful_override,G-8950DC816BAB.useful_override,G-8950DC816BAB.terminal_job_id,G-8950DC816BAB.completed_proposals,G-8950DC816BAB.valid_proposals,G-8950DC816BAB.calls,G-8950DC816BAB.input_tokens,G-8950DC816BAB.output_tokens,G-8950DC816BAB.cost_usd,G-8950DC816BAB.latency_ms,G-9C253D688BD7.prediction,G-9C253D688BD7.exact,G-9C253D688BD7.term_accuracy,G-9C253D688BD7.term_correct,G-9C253D688BD7.format_compliant,G-9C253D688BD7.proposal_plurality,G-9C253D688BD7.proposal_plurality_exact,G-9C253D688BD7.override,G-9C253D688BD7.harmful_override,G-9C253D688BD7.useful_override,G-9C253D688BD7.terminal_job_id,G-9C253D688BD7.completed_proposals,G-9C253D688BD7.valid_proposals,G-9C253D688BD7.calls,G-9C253D688BD7.input_tokens,G-9C253D688BD7.output_tokens,G-9C253D688BD7.cost_usd,G-9C253D688BD7.latency_ms,G-A6F016C4C5E2.prediction,G-A6F016C4C5E2.exact,G-A6F016C4C5E2.term_accuracy,G-A6F016C4C5E2.term_correct,G-A6F016C4C5E2.format_compliant,G-A6F016C4C5E2.proposal_plurality,G-A6F016C4C5E2.proposal_plurality_exact,G-A6F016C4C5E2.override,G-A6F016C4C5E2.harmful_override,G-A6F016C4C5E2.useful_override,G-A6F016C4C5E2.terminal_job_id,G-A6F016C4C5E2.completed_proposals,G-A6F016C4C5E2.valid_proposals,G-A6F016C4C5E2.calls,G-A6F016C4C5E2.input_tokens,G-A6F016C4C5E2.output_tokens,G-A6F016C4C5E2.cost_usd,G-A6F016C4C5E2.latency_ms
T01,training-b01,LAGPOLY,hard,"[""28"",""-4"",""32"",""-6"",""36""]","[""28"",""-4"",""32"",""-6"",""36""]",1,1.0,5,1,"[""28"",""-4"",""32"",""-6"",""36""]",1,0,0,0,search-g2-G-157CA76A3367-training-b01-judge,7,7,10,135594.0,32938.0,0.0,645036.0,"[""28"",""-4"",""32"",""-6"",""36""]",1,1.0,5,1,"[""28"",""-4"",""32"",""-6"",""36""]",1,0,0,0,search-g2-G-1C48E71B2A52-training-b01-judge,9,9,10,125951.0,33650.0,0.0,665591.0,"[""28"",""-4"",""32"",""-6"",""36""]",1,1.0,5,1,"[""28"",""-4"",""32"",""-6"",""36""]",1,0,0,0,search-g2-G-6892249EEC1C-training-b01-judge,7,7,10,135201.0,28552.0,0.0,571602.0,"[""28"",""-4"",""32"",""-6"",""36""]",1,1.0,5,1,"[""28"",""-4"",""32"",""-6"",""36""]",1,0,0,0,search-g2-G-8950DC816BAB-training-b01-judge,9,9,10,125735.0,33392.0,0.0,661953.0,"[""28"",""-4"",""32"",""-6"",""36""]",1,1.0,5,1,"[""28"",""-4"",""32"",""-6"",""36""]",1,0,0,0,search-g2-G-9C253D688BD7-training-b01-judge,9,9,10,125838.0,30430.0,0.0,624921.0,"[""28"",""-4"",""32"",""-6"",""36""]",1,1.0,5,1,"[""28"",""-4"",""32"",""-6"",""36""]",1,0,0,0,search-g2-G-A6F016C4C5E2-training-b01-judge,7,7,10,135910.0,33164.0,0.0,668519.0
T02,training-b01,GROWBLOCK,hard,"[""7"",""4"",""1"",""18"",""15""]","[""7"",""4"",""1"",""18"",""15""]",1,1.0,5,1,"[""27"",""24"",""21"",""41"",""38""]",0,1,0,1,search-g2-G-157CA76A3367-training-b01-judge,7,7,10,135594.0,32938.0,0.0,645036.0,"[""7"",""4"",""1"",""18"",""15""]",1,1.0,5,1,"[""7"",""4"",""1"",""17"",""14""]",0,1,0,1,search-g2-G-1C48E71B2A52-training-b01-judge,9,9,10,125951.0,33650.0,0.0,665591.0,"[""27"",""24"",""21"",""41"",""38""]",0,0.0,0,1,"[""27"",""24"",""21"",""39"",""36""]",0,1,0,0,search-g2-G-6892249EEC1C-training-b01-judge,7,7,10,135201.0,28552.0,0.0,571602.0,"[""7"",""4"",""21"",""18"",""15""]",0,0.8,4,1,"[""7"",""4"",""21"",""18"",""15""]",0,0,0,0,search-g2-G-8950DC816BAB-training-b01-judge,9,9,10,125735.0,33392.0,0.0,661953.0,"[""27"",""24"",""21"",""41"",""38""]",0,0.0,0,1,"[""18"",""15"",""23"",""20"",""28""]",0,1,0,0,search-g2-G-9C253D688BD7-training-b01-judge,9,9,10,125838.0,30430.0,0.0,624921.0,"[""27"",""24"",""21"",""41"",""38""]",0,0.0,0,1,"[""24"",""21"",""18"",""32"",""29""]",0,1,0,0,search-g2-G-A6F016C4C5E2-training-b01-judge,7,7,10,135910.0,33164.0,0.0,668519.0
T03,training-b01,GROWBLOCK,stress,"[""39"",""17"",""-5"",""-27"",""-49""]","[""39"",""17"",""-5"",""-27"",""-49""]",1,1.0,5,1,"[""39"",""17"",""-5"",""-27"",""-49""]",1,0,0,0,search-g2-G-157CA76A3367-training-b01-judge,7,7,10,135594.0,32938.0,0.0,645036.0,"[""39"",""17"",""-5"",""-27"",""-49""]",1,1.0,5,1,"[""-66"",""-84"",""-102"",""-120"",""-138""]",0,1,0,1,search-g2-G-1C48E71B2A52-training-b01-judge,9,9,10,125951.0,33650.0,0.0,665591.0,"[""-66"",""-84"",""-102"",""-120"",""-138""]",0,0.0,0,1,"[""-66"",""-84"",""-102"",""-120"",""-138""]",0,0,0,0,search-g2-G-6892249EEC1C-training-b01-judge,7,7,10,135201.0,28552.0,0.0,571602.0,"[""30"",""8"",""-14"",""-36"",""-58""]",0,0.0,0,1,"[""39"",""17"",""-5"",""-27"",""-49""]",1,1,1,0,search-g2-G-8950DC816BAB-training-b01-judge,9,9,10,125735.0,33392.0,0.0,661953.0,"[""-66"",""-84"",""-102"",""-120"",""-35""]",0,0.0,0,1,"[""-66"",""-84"",""-102"",""-120"",""-138""]",0,1,0,0,search-g2-G-9C253D688BD7-training-b01-judge,9,9,10,125838.0,30430.0,0.0,624921.0,"[""39"",""17"",""-5"",""-27"",""-49""]",1,1.0,5,1,"[""-66"",""-84"",""-102"",""-120"",""-138""]",0,1,0,1,search-g2-G-A6F016C4C5E2-training-b01-judge,7,7,10,135910.0,33164.0,0.0,668519.0
T04,training-b01,AFFINE,stress,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]","[""-263922"",""527842"",""1583519"",""-3167044"",""6334086""]",0,0.0,0,1,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]",1,1,1,0,search-g2-G-157CA76A3367-training-b01-judge,7,7,10,135594.0,32938.0,0.0,645036.0,"[""-263918"",""-791761"",""1583516"",""-3167034"",""-9501109""]",0,0.0,0,1,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500852""]",0,1,0,0,search-g2-G-1C48E71B2A52-training-b01-judge,9,9,10,125951.0,33650.0,0.0,665591.0,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]",1,1.0,5,1,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]",1,0,0,0,search-g2-G-6892249EEC1C-training-b01-judge,7,7,10,135201.0,28552.0,0.0,571602.0,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]",1,1.0,5,1,"[""-263918"",""-791761"",""1583516"",""-3167034"",""-9501109""]",0,1,0,1,search-g2-G-8950DC816BAB-training-b01-judge,9,9,10,125735.0,33392.0,0.0,661953.0,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]",1,1.0,5,1,"[""-791740"",""1583478"",""395867"",""-9500860"",""19001718""]",0,1,0,1,search-g2-G-9C253D688BD7-training-b01-judge,9,9,10,125838.0,30430.0,0.0,624921.0,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]",1,1.0,5,1,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]",1,0,0,0,search-g2-G-A6F016C4C5E2-training-b01-judge,7,7,10,135910.0,33164.0,0.0,668519.0
T05,training-b01,POLY,stress,"[""-6883"",""-11558"",""-18314"",""-27752"",""-40576""]","[""-6883"",""-11558"",""-18314"",""-27752"",""-40576""]",1,1.0,5,1,"[""-5719"",""-8787"",""-13382"",""-19978"",""-29136""]",0,1,0,1,search-g2-G-157CA76A3367-training-b01-judge,7,7,10,135594.0,32938.0,0.0,645036.0,"[""-6867"",""-11478"",""-18074"",""-27192"",""-39456""]",0,0.0,0,1,"[""-6804"",""-11226"",""-17444"",""-25932"",""-37251""]",0,1,0,0,search-g2-G-1C48E71B2A52-training-b01-judge,9,9,10,125951.0,33650.0,0.0,665591.0,"[""-3260"",""-8244"",""-15308"",""-8509"",""-21325""]",0,0.0,0,1,"[""-3260"",""-8244"",""-15308"",""-8509"",""-21325""]",0,0,0,0,search-g2-G-6892249EEC1C-training-b01-judge,7,7,10,135201.0,28552.0,0.0,571602.0,"[""-5727"",""-8906"",""-13826"",""-20993"",""-31006""]",0,0.0,0,1,"[""-5727"",""-8906"",""-13826"",""-20993"",""-31006""]",0,0,0,0,search-g2-G-8950DC816BAB-training-b01-judge,9,9,10,125735.0,33392.0,0.0,661953.0,"[""-5727"",""-7671"",""-10771"",""-15446"",""-22202""]",0,0.0,0,1,"[""-5727"",""-7671"",""-10771"",""-15446"",""-22202""]",0,0,0,0,search-g2-G-9C253D688BD7-training-b01-judge,9,9,10,125838.0,30430.0,0.0,624921.0,"[""-5727"",""-8827"",""-13502"",""-20258"",""-29696""]",0,0.0,0,1,"[""-6883"",""-11558"",""-18314"",""-27752"",""-40576""]",1,1,1,0,search-g2-G-A6F016C4C5E2-training-b01-judge,7,7,10,135910.0,33164.0,0.0,668519.0
T06,training-b01,LAGPOLY,stress,"[""-3"",""65"",""38"",""5"",""11""]","[""-40"",""-37"",""32"",""5"",""-22""]",0,0.2,1,1,"[""1"",""65"",""38"",""5"",""15""]",0,1,0,0,search-g2-G-157CA76A3367-training-b01-judge,7,7,10,135594.0,32938.0,0.0,645036.0,"[""38"",""5"",""-3"",""65"",""59""]",0,0.0,0,1,"[""-3"",""65"",""38"",""5"",""11""]",1,1,1,0,search-g2-G-1C48E71B2A52-training-b01-judge,9,9,10,125951.0,33650.0,0.0,665591.0,"[""38"",""5"",""-3"",""65"",""59""]",0,0.0,0,1,"[""38"",""5"",""-3"",""65"",""59""]",0,0,0,0,search-g2-G-6892249EEC1C-training-b01-judge,7,7,10,135201.0,28552.0,0.0,571602.0,"[""38"",""5"",""-3"",""65"",""59""]",0,0.0,0,1,"[""44"",""5"",""15"",""83"",""65""]",0,1,0,0,search-g2-G-8950DC816BAB-training-b01-judge,9,9,10,125735.0,33392.0,0.0,661953.0,"[""38"",""5"",""-3"",""65"",""38""]",0,0.0,0,1,"[""-3"",""65"",""38"",""5"",""-3""]",0,1,0,0,search-g2-G-9C253D688BD7-training-b01-judge,9,9,10,125838.0,30430.0,0.0,624921.0,"[""-4"",""65"",""38"",""5"",""8""]",0,0.6,3,1,"[""-34"",""35"",""104"",""77"",""80""]",0,1,0,0,search-g2-G-A6F016C4C5E2-training-b01-judge,7,7,10,135910.0,33164.0,0.0,668519.0
T07,training-b01,POLY,hard,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]","[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,1.0,5,1,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,0,0,0,search-g2-G-157CA76A3367-training-b01-judge,7,7,10,135594.0,32938.0,0.0,645036.0,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,1.0,5,1,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,0,0,0,search-g2-G-1C48E71B2A52-training-b01-judge,9,9,10,125951.0,33650.0,0.0,665591.0,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,1.0,5,1,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,0,0,0,search-g2-G-6892249EEC1C-training-b01-judge,7,7,10,135201.0,28552.0,0.0,571602.0,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3183""]",0,0.8,4,1,"[""-1340"",""-1707"",""-2133"",""-2623"",""-3113""]",0,1,0,0,search-g2-G-8950DC816BAB-training-b01-judge,9,9,10,125735.0,33392.0,0.0,661953.0,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,1.0,5,1,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,0,0,0,search-g2-G-9C253D688BD7-training-b01-judge,9,9,10,125838.0,30430.0,0.0,624921.0,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,1.0,5,1,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,0,0,0,search-g2-G-A6F016C4C5E2-training-b01-judge,7,7,10,135910.0,33164.0,0.0,668519.0
T08,training-b01,MODAFFINE,very-hard,"[""43"",""61"",""63"",""8"",""65""]","[""-14"",""87"",""64"",""6"",""-42""]",0,0.0,0,1,"[""-4"",""18"",""-10"",""29"",""-20""]",0,1,0,0,search-g2-G-157CA76A3367-training-b01-judge,7,7,10,135594.0,32938.0,0.0,645036.0,"[""-213"",""-259"",""-292"",""-344"",""-382""]",0,0.0,0,1,"[""-213"",""-259"",""-292"",""-344"",""-382""]",0,0,0,0,search-g2-G-1C48E71B2A52-training-b01-judge,9,9,10,125951.0,33650.0,0.0,665591.0,"[""-15"",""-8"",""-2"",""7"",""18""]",0,0.0,0,1,"[""-16"",""-2"",""-25"",""78"",""-36""]",0,1,0,0,search-g2-G-6892249EEC1C-training-b01-judge,7,7,10,135201.0,28552.0,0.0,571602.0,"[""-146"",""5"",""40"",""-525"",""-10""]",0,0.0,0,1,"[""0"",""0"",""0"",""0"",""0""]",0,1,0,0,search-g2-G-8950DC816BAB-training-b01-judge,9,9,10,125735.0,33392.0,0.0,661953.0,"[""-14"",""82"",""115"",""91"",""28""]",0,0.0,0,1,"[""-14"",""82"",""115"",""91"",""28""]",0,0,0,0,search-g2-G-9C253D688BD7-training-b01-judge,9,9,10,125838.0,30430.0,0.0,624921.0,"[""43"",""61"",""60"",""55"",""12""]",0,0.4,2,1,"[""43"",""61"",""60"",""55"",""12""]",0,0,0,0,search-g2-G-A6F016C4C5E2-training-b01-judge,7,7,10,135910.0,33164.0,0.0,668519.0
T09,training-b01,PDELTA,very-hard,"[""-225"",""-253"",""-299"",""-332"",""-384""]","[""-225"",""-253"",""-299"",""-332"",""-384""]",1,1.0,5,1,"[""-225"",""-253"",""-299"",""-332"",""-384""]",1,0,0,0,search-g2-G-157CA76A3367-training-b01-judge,7,7,10,135594.0,32938.0,0.0,645036.0,"[""-225"",""-253"",""-299"",""-332"",""-384""]",1,1.0,5,1,"[""-225"",""-253"",""-299"",""-332"",""-384""]",1,0,0,0,search-g2-G-1C48E71B2A52-training-b01-judge,9,9,10,125951.0,33650.0,0.0,665591.0,"[""-253"",""-225"",""-332"",""-299"",""-417""]",0,0.0,0,1,"[""-225"",""-253"",""-299"",""-332"",""-384""]",1,1,1,0,search-g2-G-6892249EEC1C-training-b01-judge,7,7,10,135201.0,28552.0,0.0,571602.0,"[""-225"",""-253"",""-299"",""-332"",""-384""]",1,1.0,5,1,"[""-225"",""-253"",""-299"",""-332"",""-384""]",1,0,0,0,search-g2-G-8950DC816BAB-training-b01-judge,9,9,10,125735.0,33392.0,0.0,661953.0,"[""-225"",""-253"",""-299"",""-332"",""-384""]",1,1.0,5,1,"[""-225"",""-253"",""-299"",""-332"",""-384""]",1,0,0,0,search-g2-G-9C253D688BD7-training-b01-judge,9,9,10,125838.0,30430.0,0.0,624921.0,"[""-225"",""-253"",""-299"",""-332"",""-384""]",1,1.0,5,1,"[""-225"",""-253"",""-299"",""-332"",""-384""]",1,0,0,0,search-g2-G-A6F016C4C5E2-training-b01-judge,7,7,10,135910.0,33164.0,0.0,668519.0
T10,training-b01,INTERLEAVE,very-hard,"[""44"",""56"",""10"",""-84"",""78""]","[""44"",""56"",""10"",""-84"",""78""]",1,1.0,5,1,"[""44"",""56"",""10"",""-84"",""73""]",0,1,0,1,search-g2-G-157CA76A3367-training-b01-judge,7,7,10,135594.0,32938.0,0.0,645036.0,"[""8"",""44"",""54"",""10"",""-84""]",0,0.0,0,1,"[""44"",""56"",""10"",""-84"",""78""]",1,1,1,0,search-g2-G-1C48E71B2A52-training-b01-judge,9,9,10,125951.0,33650.0,0.0,665591.0,"[""56"",""10"",""44"",""-84"",""78""]",0,0.4,2,1,"[""56"",""10"",""44"",""-84"",""78""]",0,0,0,0,search-g2-G-6892249EEC1C-training-b01-judge,7,7,10,135201.0,28552.0,0.0,571602.0,"[""10"",""-67"",""-8"",""-98"",""12""]",0,0.0,0,1,"[""44"",""56"",""10"",""-84"",""78""]",1,1,1,0,search-g2-G-8950DC816BAB-training-b01-judge,9,9,10,125735.0,33392.0,0.0,661953.0,"[""44"",""56"",""10"",""-84"",""78""]",1,1.0,5,1,"[""44"",""56"",""10"",""-84"",""78""]",1,0,0,0,search-g2-G-9C253D688BD7-training-b01-judge,9,9,10,125838.0,30430.0,0.0,624921.0,"[""44"",""56"",""10"",""-84"",""78""]",1,1.0,5,1,"[""44"",""56"",""10"",""-84"",""61""]",0,1,0,1,search-g2-G-A6F016C4C5E2-training-b01-judge,7,7,10,135910.0,33164.0,0.0,668519.0
