case_id,split,block,family,tier,valid_record_count,unique_hypothesis_count,oracle_exact,proposer_oracle_exact,correct_support_rank,raw_plurality_exact,strategy_plurality_exact,lens_plurality_exact
S001,search,search-b01,POLY,hard,307,28,1,1,1,1,1,1
S002,search,search-b01,AFFINE,hard,294,1,1,1,1,1,1,1
S003,search,search-b01,POLY,very-hard,307,62,1,1,1,1,1,1
S004,search,search-b01,AFFINE,very-hard,307,8,1,1,1,1,1,1
S005,search,search-b01,PDELTA,very-hard,307,88,1,1,1,1,1,1
S006,search,search-b01,AFFINE,stress,307,27,1,1,1,1,1,1
S007,search,search-b01,LIN2,stress,307,183,1,1,1,1,1,1
S008,search,search-b01,POLY,stress,307,131,1,1,1,1,1,1
S009,search,search-b01,PDELTA,stress,307,183,1,1,1,1,1,0
S010,search,search-b01,PDELTA,hard,307,20,1,1,1,1,1,1
S011,search,search-b01,LIN2,very-hard,307,127,1,1,1,1,1,1
S012,search,search-b01,LIN2,hard,307,40,1,1,2,0,0,0
S013,search,search-b02,GROWBLOCK,stress,307,104,0,0,,0,0,0
S014,search,search-b02,LAGPOLY,very-hard,307,146,1,1,1,1,1,1
S015,search,search-b02,LAGPOLY,hard,294,5,1,1,1,1,1,1
S016,search,search-b02,GROWBLOCK,hard,307,64,1,1,1,1,1,0
S017,search,search-b02,LAGPOLY,stress,307,180,1,1,1,1,1,0
S018,search,search-b02,MODAFFINE,hard,307,173,1,1,1,1,1,1
S019,search,search-b02,GROWBLOCK,very-hard,307,84,1,1,3,0,0,0
S020,search,search-b02,INTERLEAVE,hard,307,37,1,1,2,0,0,0
S021,search,search-b02,MODAFFINE,stress,307,181,0,0,,0,0,0
S022,search,search-b02,INTERLEAVE,very-hard,307,140,1,1,1,1,1,1
S023,search,search-b02,MODAFFINE,very-hard,307,184,0,0,,0,0,0
S024,search,search-b02,INTERLEAVE,stress,307,181,1,1,1,1,1,1
S025,search,search-b03,AFFINE,hard,297,13,1,1,1,1,1,1
S026,search,search-b03,PDELTA,very-hard,302,88,1,1,1,1,1,1
S027,search,search-b03,LIN2,stress,307,42,1,1,2,0,0,1
S028,search,search-b03,LIN2,very-hard,307,182,1,1,1,1,1,1
S029,search,search-b03,PDELTA,hard,297,7,1,1,2,0,0,0
S030,search,search-b03,AFFINE,very-hard,307,65,1,1,1,1,1,0
S031,search,search-b03,PDELTA,stress,307,192,0,0,,0,0,0
S032,search,search-b03,POLY,very-hard,302,61,1,1,1,1,1,1
S033,search,search-b03,LIN2,hard,297,34,1,1,1,1,1,1
S034,search,search-b03,POLY,hard,302,34,1,1,1,1,1,0
